,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
104,AKU,41.171,80.1982,Aksu Airport,Aksu,Xinjiang,China,12511976,Asia/Kashgar,0,Airports,BLANK,BLANK,,,ZWAK,1,1
105,AKV,60.8142,-78.1509,Akulivik Airport,Chisasibi,Quebec,Canada,12524039,America/Iqaluit,0,Airports,BLANK,BLANK,,,CYKO,2,1
106,AKX,50.2362,57.2115,Aktyubinsk Airport,Aqtobe,Aqtobe,Kazakhstan,12514256,Asia/Aqtobe,0,Airports,BLANK,BLANK,10170.0,722.0,UATT,4,3
107,AKY,20.1303,92.8803,Sittwe Airport,Sittwe,Rakhine State,Myanmar,12510936,Asia/Rangoon,0,Airports,BLANK,BLANK,6000.0,28.0,VYSW,3,3
108,ALA,43.3608,77.0319,Alma Ata Airport,Almaty,Almaty,Kazakhstan,12514259,Asia/Almaty,0,Airports,BLANK,BLANK,14427.0,2234.0,UAAA,44,36
109,ALB,42.7426,-73.809,Albany International Airport,Latham,New York,United States,12518554,America/New_York,518-242-2222,Airports,BLANK,http://www.albanyairport.com,7200.0,285.0,KALB,27,27
110,ALC,38.2844,-0.5576,Alicante Airport,Elx,Valencia,Spain,22412043,Europe/Madrid,0,Airports,BLANK,BLANK,9842.0,141.0,LEAL,91,37
111,ALF,69.9793,23.3571,Alta Airport,Alta,Finnmark Fylke,Norway,12515099,Europe/Oslo,0,Airports,BLANK,BLANK,5249.0,9.0,ENAT,7,3
112,ALG,36.6993,3.21935,Houari Boumediene Airport,Algiers,Alger,Algeria,12510331,Africa/Algiers,0,Airports,BLANK,http://www.egsa.dz,11483.0,82.0,DAAG,62,20
113,ALH,-34.9447,117.808,Albany Airport,Albany,Western Australia,Australia,12510582,Australia/Perth,0,Airports,BLANK,BLANK,5250.0,232.0,YABA,1,1
114,ALM,32.8407,-105.994,Alamogordo White Sands Regional Airport,Alamogordo,New Mexico,United States,12518553,America/Denver,0,Airports,BLANK,BLANK,7005.0,4197.0,KALM,1,1
115,ALO,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo,Iowa,United States,12522347,America/Chicago,0,Airports,BLANK,BLANK,8401.0,873.0,KALO,1,4
116,ALP,36.1808,37.2267,Aleppo International Airport,Djibrine,H'alab,Syria,12517695,Asia/Damascus,0,Airports,BLANK,BLANK,9908.0,1276.0,OSAP,19,13
117,ALS,37.4444,-105.865,San Luis Valley Regional Airport,Alamosa,Colorado,United States,12521726,America/Denver,0,Airports,BLANK,BLANK,8499.0,7535.0,KALS,1,3
118,ALW,46.0879,-118.283,Walla Walla Regional Airport,Walla Walla,Washington,United States,12522317,America/Los_Angeles,0,Airports,BLANK,BLANK,7186.0,1205.0,KALW,1,4
119,ALY,31.1845,29.9491,An-Nuzhah Airport,Alexandria,Al Iskandariyah,Egypt,23388264,Africa/Cairo,0,Airports,BLANK,BLANK,7021.0,,HEAX,19,15
120,ALZ,56.8988,-154.246,Alitak Seaplane Base,Alitak,Alaska,United States,12524557,America/Anchorage,0,Sea Plane Base,BLANK,BLANK,,1.0,BLANK,1,1
121,AMA,35.2177,-101.706,Amarillo International Airport,Amarillo,Texas,United States,12518598,America/Chicago,0,Airports,BLANK,BLANK,13502.0,3606.0,KAMA,7,10
122,AMD,23.0728,72.6328,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,India,12513529,Asia/Kolkata,0,Airports,BLANK,BLANK,7500.0,184.0,VAAH,16,15
123,AMH,6.01327,37.5405,Ethiopia,Arba Mintch,Gamo Gofa,Ethiopia,23424808,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,3999.0,4000.0,HAAM,1,1
124,AMI,-8.562,116.098,Selaparang,Mataram,Nusa Tenggara Barat,Indonesia,12513504,Asia/Makassar,0,Airports,BLANK,BLANK,5249.0,48.0,WRRA,6,7
125,AMM,31.7231,35.9936,Queen Alia International Airport,Amman,'Amman,Jordan,12514059,Asia/Amman,0,Airports,BLANK,BLANK,12008.0,2395.0,OJAI,62,41
126,AMQ,-3.7067,128.078,Pattimura Airport,Ambon,Maluku,Indonesia,12513492,Asia/Jakarta,0,Airports,BLANK,BLANK,6070.0,33.0,WAPP,5,3
127,AMS,52.3122,4.77511,Schiphol Airport,Schiphol Zuid,North Holland,Netherlands,22386730,Europe/Amsterdam,+31-207940800,Airports,BLANK,http://www.schiphol.com/,12467.0,-11.0,EHAM,284,118
128,AMV,69.7638,61.5586,Amderma Airport,Nar'yan-Mar,Nenetskiy Avtonomnyy Okrug,Russia,12515701,Europe/Moscow,0,Airports,BLANK,BLANK,,,ULDD,1,1
129,AMY,38.4819,-100.608,Ambatomainty,Ambatomainty,Fianarantsoa,Madagascar,1489538,Indian/Antananarivo,0,Airports,BLANK,BLANK,3010.0,1050.0,BLANK,2,1
